timestamp,probability,prediction,latency_ms,MonthlyIncome,Age,OverTime
2026-03-08T18:27:56.169014,0.0577928320170394,No,2,9533,43,No
2026-03-08T18:28:00.308771,0.7773498331826303,Yes,2,4720,29,Yes
2026-03-08T18:28:02.478265,0.9928736669396239,Yes,3,3376,21,Yes
2026-03-08T18:28:04.352143,0.020203777826621316,No,2,7784,40,No
2026-03-08T18:28:07.607241,0.017091866818208946,No,2,8746,39,No
2026-03-08T18:28:09.737904,0.033158689525321264,No,1,8267,35,No
2026-03-08T19:20:38.902762,0.03285551113988777,No,0,13779,39,No
2026-03-08T19:20:41.151570,0.014917306081089779,No,0,13787,43,No
2026-03-08T19:20:43.343982,0.04800721758063836,No,2,7039,42,No
2026-03-08T19:32:10.014505,0.6016480902158867,Yes,1,5162,28,No
2026-03-08T19:36:19.603433,0.9874026882055783,Yes,1,1662,19,Yes
2026-03-08T19:36:26.498011,0.03188700671422722,No,2,7093,41,No
2026-03-08T19:37:25.742241,0.3200236107658082,Yes,2,5000,32,No
2026-03-09T20:42:26.241436,0.9867604157029283,Yes,0,2854,19,Yes
2026-03-09T20:43:03.057552,0.0355275124082176,No,0,11277,36,No
2026-03-09T20:51:20.169652,0.008927444106284276,No,4,13586,36,No
